"Mag","AccX","AccY","RateX","RateY","RateZ"
-161.093,4.07847,-15.6801,0.366061,-0.84162,2.44071
-163.413,4.07847,-15.6801,0.56505,0.0803288,2.70293
-164.907,-3.72558,-6.76356,0.673173,0.136376,3.11007
-167.583,-3.72558,-6.76356,0.654695,0.396757,3.05799
-170.762,-3.72558,-6.76356,0.233809,-0.563065,2.53967
-173.807,-3.72558,-6.76356,0.0681115,-0.664011,2.40146
-177.337,0.824658,-8.27503,0.0407753,-0.413403,2.277
179.832,0.824658,-8.27503,0.326355,0.346361,1.99936
178.64,0.824658,-8.27503,0.321162,0.102014,1.57786
176.663,0.824658,-8.27503,0.011301,-0.81016,1.19333
174.91,5.96238,-6.18405,-0.0978912,-0.676991,0.955851
174.306,5.96238,-6.18405,0.228311,0.474642,0.757626
174.424,5.96238,-6.18405,0.486096,0.661567,0.600175
174.17,5.96238,-6.18405,0.435394,0.444099,0.189368
174.341,1.70929,1.42434,-0.0633773,-0.223119,-0.178984
174.289,1.70929,1.42434,-0.405156,-0.342848,-0.25244
173.92,1.70929,1.42434,-0.0618501,0.279471,-0.178678
174.729,1.70929,1.42434,0.138056,0.133016,-0.284358
175.378,2.20548,-4.41423,0.123395,0.0148135,-0.484263
175.77,2.20548,-4.41423,-0.224493,-0.0717767,-0.74999
175.938,2.20548,-4.41423,-0.277027,0.0809396,-1.06352
177.321,2.20548,-4.41423,0.29856,-0.218995,-1.13651
-179.833,0,-8.65675,0.579711,-0.348804,-1.0933
-176.902,0,-8.65675,0.0675006,-0.234572,-1.79457
-174.629,0,-8.65675,-0.4751,0.212123,-2.35076
-172.014,0,-8.65675,-0.423024,1.36467,-2.53204
-168.622,-6.77842,-7.36251,0.0557415,0.602771,-2.39978
-165.046,-6.77842,-7.36251,0.193339,0.0274889,-2.31136
-160.654,-6.77842,-7.36251,0.156229,-0.255036,-3.35716
-158.105,-6.77842,-7.36251,0.188299,-0.0131336,-3.65557
-152.915,-13.2768,-9.65322,0.803746,-0.28558,-2.69208
-148.465,-13.2768,-9.65322,1.13606,-0.890642,-2.54196
-144.136,-13.2768,-9.65322,0.72754,-1.89658,-3.58059
-140.231,-22.9371,4.88459,-0.237932,-1.55465,-4.02728
-136.304,-22.7641,4.89082,0.237779,0.115148,-2.61527
-130.459,-22.7641,4.89082,0.879188,2.35046,-1.90788
-125.134,-22.7641,4.89082,0.490678,0.0471893,-3.12748
-125.231,-16.2962,14.3184,-0.0980439,-2.47629,-3.2582
-125.237,-16.2962,14.3184,-0.720057,-1.76647,-2.6423
-122.209,-16.2962,14.3184,-0.501979,0.461661,-3.05723
-114.923,-16.2962,14.3184,0.238696,2.27715,-2.96987
-109.03,-14.0583,34.196,-0.333074,1.25059,-1.98776
-108.292,-14.0583,34.196,-2.01479,-1.23044,-1.37063
-111.396,-14.0583,34.196,-1.31382,-1.22814,-0.823599
-111.39,-14.0583,34.196,-0.433714,-0.433562,-0.57513
-111.771,7.95542,2.79989,-0.521374,0.332616,-0.0817032
-111.677,7.95542,2.79989,-0.664163,0.30528,0.150426
-111.864,7.95542,2.79989,-0.0293215,0.252593,0.115759
-111.357,7.95542,2.79989,-0.0253509,0.137903,0.0114537
-111.582,5.15173,-7.34151,0.0279471,-0.140041,-0.0171042
-111.459,5.15173,-7.34151,0.237932,-0.116523,-0.0264199
-111.216,5.15173,-7.34151,0.430355,-0.165239,-0.0639881
-111.592,5.15173,-7.34151,0.912785,-0.207694,-0.0505491
-110.574,9.17297,-7.75226,1.36605,-0.381943,0.0369573
-109.81,9.17297,-7.75226,1.89093,-0.469603,-0.320399
-109.855,9.17297,-7.75226,1.90788,-0.716087,-0.316428
-109.484,9.17297,-7.75226,2.19301,-0.539394,0.0114537
-108.239,19.464,4.6054,2.79944,-0.0833831,0.0395535
-107.249,19.464,4.6054,2.7776,-0.434478,-0.390343
-106.657,19.464,4.6054,2.87458,-1.06963,-0.163406
-105.743,19.464,4.6054,3.17161,-0.0345139,0.128129
-105.042,7.29769,14.5083,3.26446,-0.0169515,-0.296575
-104.437,7.29769,14.5083,3.31562,-0.338725,-0.22205
