"Mag","AccX","AccY","RateX","RateY","RateZ"
107.4,0.785152,-65.9988,-1.69164,0.540463,0.647059
105.698,0.785152,-65.9988,-1.5632,-0.18158,0.336892
107.542,0.785152,-65.9988,-1.71516,-1.36376,-0.280693
107.937,-3.63936,-75.2572,-1.58871,-0.537256,-0.165697
106.902,-3.63936,-75.2572,-1.5994,-0.0649044,0.101251
105.866,-3.63936,-75.2572,-1.47753,0.152411,0.403629
104.279,-3.63936,-75.2572,-1.53724,0.294132,0.338572
103.501,8.03321,-74.0691,-1.22646,0.271377,-0.0652099
103.125,8.03321,-74.0691,-1.1214,0.326202,-0.381485
103.338,8.03321,-74.0691,-0.745103,-0.0908662,-0.208305
103.351,8.03321,-74.0691,-0.445168,-0.219911,-0.20632
103.819,-1.40392,-85.1088,-0.297339,-0.00106901,-0.12706
103.665,-1.40392,-85.1088,-0.351706,0.287718,-0.0251982
102.748,-1.40392,-85.1088,-0.516792,0.37049,0.174402
101.655,3.64672,-80.9456,-0.205709,0.308029,0.41096
101.459,3.64672,-80.9456,0.0410807,0.174707,0.17654
101.014,3.64672,-80.9456,-0.291841,0.18891,-0.0844521
100.895,3.64672,-80.9456,-0.146608,-0.0616974,-0.113316
101.089,-5.50026,-84.4834,0.253815,-0.107665,0.137139
100.743,-5.50026,-84.4834,0.378584,0.0155771,0.29459
100.666,-5.50026,-84.4834,0.446543,-0.0218384,0.283747
100.706,-5.50026,-84.4834,0.654695,0.0132863,0.0201586
101.464,0.918387,-75.4898,1.03206,-0.0827722,-0.039859
102.339,0.918387,-75.4898,1.70279,-0.859793,-0.0413861
104.135,0.918387,-75.4898,1.55969,-1.65957,-0.219606
104.985,0.918387,-75.4898,1.04168,0.154243,-0.00580322
104.105,-2.85519,-76.2473,0.611018,0.64767,0.230296
103.931,-2.85519,-76.2473,0.81352,0.171195,0.221133
103.782,-2.85519,-76.2473,1.45752,0.241444,0.174555
104.036,-2.85519,-76.2473,1.30725,-0.101404,-0.0978912
104.621,-2.76312,-67.3414,1.3575,0.0691805,-0.0705549
103.06,-2.76312,-67.3414,2.2208,1.13483,0.275958
104.268,-2.76312,-67.3414,2.60244,0.574977,-0.122326
107.625,-2.76312,-67.3414,1.61131,-1.58657,-0.814741
114.274,-4.50717,-55.7754,1.52304,-1.76082,-0.476628
119.526,-4.50717,-55.7754,2.73561,0.303447,-0.0187841
118.926,-4.50717,-55.7754,2.57464,1.80251,0.179442
120.613,-4.50717,-55.7754,1.44363,0.0852157,-0.0603229
124.836,-3.12608,-40.2864,1.88712,-0.617279,0.246637
134.718,-3.12608,-40.2864,3.27118,-0.6353,0.56673
140.667,-3.12608,-40.2864,2.60534,1.83764,0.230449
152.418,-3.12608,-40.2864,1.56427,0.311236,-0.63362
162.051,-7.44206,-31.8494,2.60106,-1.52212,-0.212276
-165.71,-7.44206,-31.8494,3.33868,-3.35609,-0.180663
-155.583,-7.44206,-31.8494,2.56044,-3.83761,-1.09605
-152.17,-7.44206,-31.8494,1.321,-1.78571,-1.43477
-145.768,-0.615542,-24.5443,1.97768,0.852157,-0.637743
-134.288,-0.615542,-24.5443,2.27547,1.29855,-0.208763
-129.193,-0.615542,-24.5443,1.98394,-0.224188,-0.530384
-126.547,-0.615542,-24.5443,1.81641,-1.00548,-0.784504
-123.32,4.34497,-15.3767,1.64842,0.121562,-0.689514
-121.421,4.34497,-15.3767,1.01694,0.959364,-0.30192
-117.068,4.34497,-15.3767,0.855517,0.658055,-0.0172569
-115.241,4.34497,-15.3767,0.693943,0.34575,0.0186314
-114.186,1.42908,-3.71784,0.253509,0.396604,0.0823141
-112.42,1.42908,-3.71784,0.108581,0.575741,0.172569
-111.595,1.42908,-3.71784,0.298102,0.514959,0.0616974
-110.772,6.11327,-5.60212,0.338419,-0.136834,-0.15852
-110.814,6.11327,-5.60212,0.054367,-0.0598648,-0.112399
-110.599,6.11327,-5.60212,0.0746783,0.349415,0.113163
-109.716,6.11327,-5.60212,0.269697,0.247859,0.0314596
-109.703,3.95194,-5.35028,0.146302,-0.00519235,-0.0911716
-108.9,3.95194,-5.35028,0.0936151,0.222813,0.0369573
-108.785,3.95194,-5.35028,0.116675,0.265574,0.0653626
-108.206,3.95194,-5.35028,0.458607,-0.0491747,-0.0954477
-107.301,3.45834,-4.32441,0.470214,0.159283,-0.121562
-105.873,3.45834,-4.32441,0.649502,0.339183,0.0212276
-105.03,3.45834,-4.32441,0.803441,0.106138,-0.0536034
-103.676,3.45834,-4.32441,0.871705,-0.127518,-0.0766636
-104.394,8.56014,-1.53091,0.873232,-0.331853,-0.0720821
-104.8,8.56014,-1.53091,1.0516,-0.488387,-0.152564
-104.475,8.56014,-1.53091,1.24311,-0.220675,-0.0633773
-104.353,8.56014,-1.53091,1.18386,-0.290466,0.0497855
-103.225,8.18029,2.4465,1.47707,-0.207389,-0.020464
-103.873,8.18029,2.4465,1.56061,-0.203265,0.00229074
-103.063,8.18029,2.4465,1.56809,0.0403171,0.15684
-103.162,8.18029,2.4465,1.71149,-0.202196,0.140804
-102.698,4.36219,14.3118,1.7457,-0.246484,-0.00794125
-102.898,4.36219,14.3118,1.82969,-0.375377,0.118813
-102.689,4.36219,14.3118,2.00379,-0.0800233,0.23274
-102.148,4.36219,14.3118,2.06579,-0.0311541,0.131336
-102.02,7.4049,28.9013,2.07679,-0.149051,0.121562
-101.857,7.4049,28.9013,2.09893,-0.573908,0.0355829
-102.003,7.4049,28.9013,2.45064,-0.437227,-0.0065668
-101.909,7.4049,28.9013,2.28708,-0.707993,-0.149357
-101.939,8.02532,43.6175,1.93324,-0.561996,-0.0841467
-101.667,8.02532,43.6175,1.99722,-0.011301,0.0520763
-101.683,8.02532,43.6175,2.13788,0.364687,0.166613
-101.996,8.02532,43.6175,1.86742,0.272293,0.221439
-101.328,13.0411,44.1662,1.79854,0.0413861,0.0881173
-102.043,13.0411,44.1662,1.71684,-0.366519,-0.117897
-101.768,13.0411,44.1662,1.69286,-0.149509,-0.10965
-101.493,13.0411,44.1662,1.74921,-0.191354,-0.0971276
-101.255,9.43537,53.8976,1.79472,-0.40592,-0.0372628
-101.787,9.43537,53.8976,1.88544,0.231671,0.24007
-102.035,9.43537,53.8976,1.81137,0.333532,0.145844
-102.241,10.8325,67.8606,1.69072,0.391259,0.00763582
-102.426,9.4368,69.638,1.43584,0.546114,-0.10736
-102.529,9.4368,69.638,1.29076,0.387594,-0.197157
-102.277,9.4368,69.638,1.23654,0.335976,-0.254578
-102.108,4.06873,76.8138,1.11819,0.0276417,-0.37217
-101.636,4.06873,76.8138,1.04977,-0.152716,-0.370948
-101.098,4.06873,76.8138,0.785267,-0.302836,-0.275958
-100.668,4.06873,76.8138,0.610407,-0.221897,-0.193492
-100.473,1.74848,81.0495,0.385609,-0.364534,-0.0566578
-100.564,1.74848,81.0495,0.36148,-0.245721,0.0557415
-100.607,1.74848,81.0495,0.323148,-0.0846048,0.154091
-100.995,1.74848,81.0495,0.302836,0.116064,0.135612
-101.388,6.64455,79.5869,0.211207,0.24343,0.15852
-101.547,6.64455,79.5869,0.190743,0.0131336,0.100335
-101.744,6.64455,79.5869,0.0904081,0.0956004,0.194408
-102.15,6.64455,79.5869,-0.0859793,0.13271,0.235641
-102.312,172.093,81.7912,-0.52397,0.0905608,0.263741
-102.593,172.093,81.7912,-0.719447,-0.0800233,0.21701
-102.721,172.093,81.7912,-1.06611,-0.106291,0.10965
-102.761,172.093,81.7912,-1.26251,0.41157,0.332616
-103.241,12.9363,72.2759,-1.57252,0.572381,0.117439
-103.109,12.9363,72.2759,-1.59359,-0.0160352,-0.309556
-102.59,12.9363,72.2759,-1.56855,0.182954,-0.304211
-102.58,12.9363,72.2759,-2.2602,0.782671,0.0801761
-102.265,0.240083,38.022,-2.45049,0.543365,-0.030696
-102.205,0.240083,38.022,-2.19148,-0.095295,-0.186008
-101.951,0.240083,38.022,-2.66505,-1.00396,-0.256258
-102.049,0.240083,38.022,-2.88176,0.321162,0.227089
-102.426,1.96767,39.8614,-1.60551,0.110719,-0.152869
-102.374,1.96767,39.8614,-1.90773,-0.045204,-0.0911716
-102.36,1.96767,39.8614,-2.93307,-0.283136,-0.0308487
-102.315,1.96767,39.8614,-1.73287,0.0140499,-0.290772
-102.453,5.45654,47.1377,-2.18003,0.156687,-0.222966
-102.428,5.45654,47.1377,-3.14718,0.178067,0.147066
-102.644,5.45654,47.1377,-1.60245,1.02732,0.22205
-102.087,5.45654,47.1377,-1.39491,-0.228769,-0.424093
-102.302,5.64494,48.6891,-2.07801,-0.392481,-0.36713
-102.579,5.64494,48.6891,-1.976,1.38162,0.610254
-102.335,5.64494,48.6891,-1.21501,0.18326,-0.21029
-102.609,5.64494,48.6891,-1.58199,0.0664316,-0.306502
-102.238,5.61051,22.7311,-1.80373,0.389579,-0.00473421
-103.164,5.61051,22.7311,-1.47692,0.152564,-0.0708604
-102.724,5.61051,22.7311,-1.22234,0.107665,-0.270919
-102.135,5.61051,22.7311,-1.44622,0.503811,-0.175166
-102.095,4.40356,15.1863,-1.45966,0.815352,0.12538
-101.402,4.40356,15.1863,-1.01709,0.680198,-0.183718
-100.319,4.40356,15.1863,-0.998154,0.0836885,-0.397062
-99.9388,-2.38984,-8.21952,-0.794736,0.144164,-0.191659
-99.9177,-2.38984,-8.21952,-0.317803,0.220522,-0.071624
-99.7178,-2.38984,-8.21952,0.0297797,-0.138972,-0.193797
-99.8061,-2.38984,-8.21952,0.0261145,0.122173,-0.0693332
-98.427,-2.16111,-3.341,0.103847,0.372322,0.0277944
-97.275,-2.16111,-3.341,0.189674,0.289245,-0.00290161
-98.3007,-2.16111,-3.341,0.153938,-0.106901,-0.100945
-97.6635,-2.16111,-3.341,0.00519235,0.0583376,0.0445932
-97.3798,-2.95228,-1.36212,0.0956004,-0.0209221,0.0114537
-97.6175,-2.95228,-1.36212,-0.0135918,-0.0364992,-0.00106901
-98.0317,-2.95228,-1.36212,-0.0525344,-0.0731511,0.0221439
-97.6635,-2.95228,-1.36212,-0.0389427,-0.145386,0.0345139
-98.3044,2.52241,0,-0.219301,0.0363465,0.0332922
-98.7187,2.52241,0,-0.542754,0.0661262,0.0198531
-98.8041,2.52241,0,-1.02686,0.0890336,0.0752891
-98.8204,2.52241,0,-1.38514,0.182649,0.0956004
-99.0059,3.38186,-11.6687,-1.98944,0.190285,0.103847
-101.121,3.38186,-11.6687,-2.0884,0.126602,0.111025
-102.075,3.38186,-11.6687,-2.08824,-0.00397062,-0.0632246
-105.043,3.38186,-11.6687,-2.81242,0.061392,-0.353386
-110.726,-19.1293,-23.0894,-3.41718,0.371406,-0.0607811
-115.201,-19.1293,-23.0894,-3.43749,1.12384,0.752891
-160.017,-19.1293,-23.0894,-3.02836,0.912327,0.44135
126.119,-19.1293,-23.0894,-2.6258,-0.964556,-1.09803
124.592,-12.0861,-45.7704,-2.41215,-1.01556,-1.02946
120.332,-12.0861,-45.7704,-2.35947,-1.19791,-0.200822
111.186,-12.0861,-45.7704,-2.18048,1.40056,0.57513
100.273,-12.0861,-45.7704,-2.16063,1.12521,0.200058
98.0879,-2.09228,-57.54,-2.17605,0.0352775,-0.222508
97.7093,-2.09228,-57.54,-2.18461,-0.0907135,-0.0401644
96.0332,-2.09228,-57.54,-1.92041,0.177609,0.220217
93.3542,-2.09228,-57.54,-1.59466,0.823905,0.167683
91.5429,-1.04985,-78.5908,-1.96118,0.720668,-0.0374155
92.7882,-1.04985,-78.5908,-1.89781,-1.01236,-0.304058
95.3505,-1.04985,-78.5908,-1.84038,-1.01969,-0.316886
98.8807,-1.04985,-78.5908,-1.83886,-1.23089,-0.188299
98.8046,-10.8613,-68.6996,-1.28236,0.28222,0.242055
97.7518,-10.8613,-68.6996,-1.14736,0.230143,0.170431
96.131,-10.8613,-68.6996,-0.893543,1.00701,0.121868
94.1884,-10.8613,-68.6996,-0.479987,0.949895,0.0410807
93.1093,-169.473,-77.0027,-0.771523,0.482889,0.0694859
92.9108,-169.473,-77.0027,-0.821461,0.256563,0.134238
93.0418,-169.473,-77.0027,-0.460745,-0.296728,-0.041997
94.1149,-175.045,-68.5667,0.000458149,-0.199295,-0.240375
94.4714,-175.045,-68.5667,-0.458607,-0.384387,-0.249386
94.4714,-175.045,-68.5667,-0.149967,-0.0284052,0.159283
93.5424,-175.045,-68.5667,0.432645,0.52962,0.358425
92.4776,-1.62993,-88.3701,0.892932,0.972192,0.0448986
91.693,-1.62993,-88.3701,0.82986,0.292299,-0.0189368
91.7489,-1.62993,-88.3701,1.15423,-0.224798,0.217315
93.6717,-1.62993,-88.3701,2.19484,-1.16477,0.285274
93.4778,178.517,-85.0702,2.48195,0.126602,0.0450513
93.8814,178.517,-85.0702,1.71836,-0.138208,0.0525344
93.2095,178.517,-85.0702,1.74692,-0.272904,0.784656
93.1471,178.517,-85.0702,2.72171,-0.835053,0.950659
98.5535,152.837,-60.3669,3.14122,-1.63773,-0.635605
106.866,152.837,-60.3669,1.88391,-1.38727,-1.73226
